,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5592,42688942,"Cozy West Loop Studio w/ Pool, Gym, nr. Restaurant Row, by Blueground",107434423,Blueground,,Near West Side,41.88255,-87.65198,Entire home/apt,130,30,0,,,205,323
3489,32725096,唐人街3房3床。新装修、新电器用品、旺中带静，免费停车，近超市，酒吧，歺馆。,231494722,Ethan,,Bridgeport,41.84346,-87.63893,Entire home/apt,89,3,54,2020-08-31,2.87,4,172
3397,31834718,Vintage and Sunny Babe on Belden,231173112,Larissa,,Logan Square,41.92319,-87.72431,Entire home/apt,95,2,32,2020-07-27,1.78,1,347
2653,26364102,Perfect W. Lakeview/Roscoe Village w/patio & pkg,80124571,D,,Lake View,41.93858,-87.67016,Entire home/apt,250,4,0,,,2,261
5082,40707758,Comfy & Bright 2 bedroom 1 Bath private Condo,74287024,Robbie,,South Shore,41.75516,-87.58458,Entire home/apt,65,3,15,2020-06-21,1.82,1,49
5116,40841455,Modern 2BR at Logan Sq Perfect for Fun Getaway,148973907,Mia & Noah,,Logan Square,41.9145,-87.71047,Entire home/apt,97,1,15,2020-09-07,1.77,21,206
1276,15510883,"Newly Renovated Condo, Steps to Wrigley Field",71857880,Joe,,Lake View,41.94999,-87.658,Entire home/apt,450,2,6,2019-06-10,0.15,1,179
2412,24621194,Ethel Rose’s Place,69292837,Roenita,,Calumet Heights,41.73529,-87.58754,Entire home/apt,149,2,24,2020-08-02,0.84,2,365
5409,41997586,A Bookman's Retreat. Hundreds of good books.,48302234,John,,Irving Park,41.95377,-87.70784,Entire home/apt,65,24,7,2020-08-31,1.01,1,48
1841,20621687,1 Bedroom Penthouse Near Wrigley Field,67664674,Kim,,Lake View,41.93809,-87.66028,Entire home/apt,118,2,13,2019-09-11,0.35,3,0
2595,25955899,Large Chicago apt  excellent for families/business,127998154,Robert,,Lincoln Park,41.93214,-87.64089,Entire home/apt,600,1,20,2020-02-16,0.76,1,7
5110,40800681,Marley’s Resort,317120638,Anthony,,Chatham,41.74511,-87.59999,Entire home/apt,210,1,0,,,1,88
5419,42035433,"Smart West Loop Studio w/ Pool, Gym, nr. Fulton Market, by Blueground",107434423,Blueground,,Near West Side,41.88306,-87.65131,Entire home/apt,112,30,0,,,205,364
6194,44999247,Comfortable Apartment 10 min to Downtown,345300332,Aliaksandra,,Near West Side,41.87289,-87.68341,Entire home/apt,70,14,0,,,27,120
6222,45120577,Live + Work + Stay + Easy | 1BR in Chicago,359234447,Kia,,Near North Side,41.89111,-87.62205,Entire home/apt,127,33,0,,,44,360
1190,14864741,Downtown Oasis,93114656,Jennifer,,Loop,41.86878,-87.62718,Entire home/apt,100,14,33,2020-09-01,0.96,1,0
2163,22599315,Roscoe Village Inn|Walk to Chicago's Wrigley Field,49260140,Kimberly,,North Center,41.94455,-87.67978,Entire home/apt,149,3,4,2020-02-17,0.14,3,354
4953,40115816,1br apt Lincoln Park 1 block from L Train,127044201,James,,Lincoln Park,41.92701,-87.65744,Entire home/apt,40,30,0,,,1,0
3633,33572589,"Beautiful,stylish and spacious garden apartment",238150683,Anka,,Norwood Park,41.98034,-87.79122,Entire home/apt,79,1,28,2020-02-15,1.66,1,28
1457,17389190,LUX 1BR/1BA Top-Floor Unobstructed Downtown Views,26302525,Margarita & Mike,,Near North Side,41.89255,-87.61911,Entire home/apt,129,2,278,2020-09-13,6.39,2,96
819,10487791,"3B/3BA Massive Luxury Apartment | Views, Indoor Pool & Gym by ENVITAE | PAID IN/OUT PARKING IN BLDG",36459240,Jim,,Near North Side,41.89404,-87.61599,Entire home/apt,310,3,127,2020-08-12,2.3,17,344
2611,26029969,Sunlit Sanctuary with Huge Landscaped Private Outdoor Patio,26535257,Leigh,,Lake View,41.93655,-87.65484,Entire home/apt,433,5,45,2020-08-29,1.7,1,301
2282,23611441,Halo Factory -Cozy E Garfield Pad,17221958,David,,East Garfield Park,41.88459,-87.70365,Entire home/apt,46,7,83,2020-08-26,2.73,1,25
4083,36270543,⭐|Stylish|Comfy|Lincoln Sq.| 2BR |✨|Near Wrigley|⭐,96730613,Demitri,,Lincoln Square,41.96675,-87.68548,Entire home/apt,97,3,55,2020-09-18,3.83,3,49
5208,41266450,Mindful Pad - 5 minutes away from Midway,256520638,Mateusz,,Clearing,41.77503,-87.79175,Entire home/apt,79,2,3,2020-04-21,0.4,1,77
6307,45329300,Gorgeous NEW 5 BDR/ 4BA in Logan Square w/Parking!,17942597,Maria,,Avondale,41.93741,-87.69554,Entire home/apt,337,3,0,,,1,363
5127,40883695,Convenient Loop 1BR w/ Gym + Theatre Room near Grant Park by Blueground,107434423,Blueground,,Loop,41.87976,-87.62663,Entire home/apt,137,30,0,,,205,348
3970,35579191,SuperHost Modern 1 Bedroom in Center Location,3965428,Rob,,Near North Side,41.89754,-87.62049,Entire home/apt,96,28,3,2019-09-14,0.2,73,365
5873,43723691,"Sunny, bright apartment close to Logan square",11120858,Liana,,Logan Square,41.91457,-87.70331,Entire home/apt,70,2,2,2020-08-31,1.15,1,313
